CowID,Day,Label,F0Mean,F0Max,F0Min,F0Range,Q25,Q50,Q75,Fpeak,Sound Duration,AMVar,AMRate,Formant Dispersal,Wiener Entropy Mean,File
406,2000-07-15,Post-calving,193.16225397842183,297.94359717659904,71.0642575179082,226.87933965869084,-0.2669921815395355,-0.00014636975538451225,0.25701719522476196,31568,2.2291156462585033,292838620.0,22050.0,4116.195763106422,0.018665861,trial/406/July 15/Vocals/HFC_11.15_1.wav
406,2000-07-15,Post-calving,200.7524633428463,1095.0174996997887,66.84506495575603,1028.1724347440327,-0.2616611123085022,0.002160826697945595,0.2642984092235565,16149,1.9969160997732427,378450000.0,22050.0,4125.243497748026,0.01973591,trial/406/July 15/Vocals/HFC_11.15_2.wav
406,2000-07-15,Post-calving,195.5865921637743,538.7600729846115,71.03759049686224,467.7224824877493,-0.2140243835747242,-0.0023371512070298195,0.20750024542212486,25569,2.089795918367347,661895700.0,22049.999999999996,4137.859949557278,0.06447146,trial/406/July 15/Vocals/HFC_10.30_2.wav
406,2000-07-15,Post-calving,272.4553523583323,1840.9047138197227,74.7532571325754,1766.1514566871474,-0.24109649658203125,-0.003795528318732977,0.23429524526000023,39553,2.5309750566893423,223354670.0,22050.0,4206.571688096071,0.012130868,trial/406/July 15/Vocals/HFC_11.30_1.wav
406,2000-07-15,Post-calving,211.50331549434424,2205.0,69.98014283838474,2135.019857161615,-0.1752825863659382,-0.0014244099729694426,0.17726584896445274,24181,2.507755102040816,-161061260.0,22050.0,4273.349079261919,0.04240197,trial/406/July 15/Vocals/HFC_10.30.wav
406,2000-07-15,Post-calving,216.3007845992981,2024.0418945583094,72.04921986364933,1951.99267469466,-0.2647915259003639,7.122162423911504e-05,0.2614220678806305,35510,2.182675736961451,-1134064400.0,22050.0,4200.189959284024,0.017729817,trial/406/July 15/Vocals/HFC_11.00_2.wav
406,2000-07-15,Post-calving,233.33322979924142,2074.542891214944,74.82232041304725,1999.7205708018969,-0.2386060170829296,0.0024879671400412917,0.23905473947525024,20923,2.159455782312925,135676600.0,22050.0,4120.061683707305,0.07974136,trial/406/July 15/Vocals/HFC_10.45_2.wav
406,2000-07-15,Post-calving,258.59402662449156,2205.0,71.33419701123503,2133.665802988765,-0.24986578151583672,0.0011915764771401882,0.24526550248265266,31884,2.4380952380952383,-215982540.0,22049.999999999996,4136.330642721667,0.0764109,trial/406/July 15/Vocals/HFC_10.45.wav
406,2000-07-15,Post-calving,195.6477958054556,276.795087034055,68.88225831105835,207.9128287229966,-0.22628022357821465,0.002314653596840799,0.22868768498301506,18126,2.159455782312925,-235514130.0,22050.0,4177.330844839813,0.008868918,trial/406/July 15/Vocals/HFC_10.45_1.wav
406,2000-07-15,Post-calving,228.1475222558747,1998.7893558283336,76.71733529583102,1922.0720205325026,-0.23537276685237885,0.0007424761424772441,0.22682864218950272,17711,2.1130158730158732,872415170.0,22049.999999999996,4168.407609200949,0.021501368,trial/406/July 15/Vocals/HFC_11.00_1.wav
406,2000-07-15,Post-calving,212.06262508075238,1677.4407705316985,72.35700373628256,1605.0837667954158,-0.21401533484458923,-0.0030204354552552104,0.19551585242152214,24754,2.089795918367347,-1558657400.0,22049.999999999996,4226.120076397101,0.02164981,trial/406/July 15/Vocals/HFC_11.15.wav
406,2000-07-15,Post-calving,342.91805274874923,2205.0,73.85570536729139,2131.144294632709,-0.24972696974873543,-0.00329501589294523,0.24444346502423286,25970,1.9969160997732427,-721420300.0,22050.0,4167.577465083117,0.044464383,trial/406/July 15/Vocals/HFC_11.00.wav
406,2000-07-12,Pre-calving,244.34401353071797,993.7375247380227,72.6367258823408,921.1007988556819,-0.2080833800137043,0.0027215201407670975,0.22509382665157318,26167,1.9969160997732427,276472450.0,22050.0,4350.83100822158,0.004312924,trial/406/July 12/Vocals/HFC_11.15_1.wav
406,2000-07-12,Pre-calving,254.61859547995385,854.1234853288578,111.5152458086363,742.6082395202214,-0.3887770473957062,-0.006658574100583792,0.3288998678326607,15139,1.2770975056689342,-431064220.0,22050.0,4465.438869917723,0.003035865,trial/406/July 12/Vocals/HFC_11.15_2.wav
406,2000-07-12,Pre-calving,251.55912236417402,2205.0,80.18246389994596,2124.817536100054,-0.3635537922382355,-0.0003447737399255857,0.36081744730472565,28109,1.787936507936508,1797350500.0,22050.0,4505.006589850076,0.009951722,trial/406/July 12/Vocals/HFC_11.00_2.wav
406,2000-07-12,Pre-calving,193.9342405291177,1207.6857583367803,87.70873293225904,1119.9770254045213,-0.3446170464158058,0.0029402629006654024,0.30728136748075485,17091,1.2770975056689342,219538290.0,22050.0,4389.968597074777,0.016203504,trial/406/July 12/Vocals/HFC_11.00_1.wav
406,2000-07-12,Pre-calving,182.81401491446712,1693.524367781421,74.23405996891,1619.290307812511,-0.38867561519145966,-0.003582080244086683,0.38670358806848526,30814,2.136235827664399,-158054780.0,22050.000000000004,4329.558801557606,0.0073596244,trial/406/July 12/Vocals/HFC_11.15.wav
406,2000-07-12,Pre-calving,311.5873614833871,1877.8432206541718,222.69979817752443,1655.1434224766474,-0.3498563840985298,0.0008096693782135844,0.362920418381691,9457,0.905578231292517,-1163220400.0,22050.0,4444.183134507755,0.0027602208,trial/406/July 12/Vocals/HFC_11.00.wav
406,2000-07-14,Post-calving,240.94549838376128,1835.6775634013911,66.6121918094701,1769.0653715919211,-0.2650979235768318,-0.0013827614020556211,0.26139385998249054,29493,2.089795918367347,-1610612700.0,22049.999999999996,4117.291174804916,0.022057107,trial/406/July 14/Vocals/HFC_09.45.wav
